지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위)
106,동해,2023-01-10 21:00,4.3,,1.6,66,,,,2
106,동해,2023-01-10 22:00,4.5,,2,56,,,,6
106,동해,2023-01-10 23:00,6.3,,2.4,39,,,,5
106,동해,2023-01-11 00:00,7.2,,.3,34,,,,5
106,동해,2023-01-11 01:00,6.1,,.9,28,,,,6
106,동해,2023-01-11 02:00,5.4,,.9,27,,,,6
106,동해,2023-01-11 03:00,5.5,,1.1,31,,,,4
106,동해,2023-01-11 04:00,4.7,,1.7,34,,,,2
106,동해,2023-01-11 05:00,6,,1.5,36,,,,2
106,동해,2023-01-11 06:00,3.8,,.6,39,,,,0
106,동해,2023-01-11 07:00,5,,1.1,31,,,,0
106,동해,2023-01-11 08:00,4.5,,.6,41,.2,,,0
106,동해,2023-01-11 09:00,7.9,,.7,24,1,,,0
106,동해,2023-01-11 10:00,10.2,,.7,22,1,,,0
106,동해,2023-01-11 11:00,13.1,,1.3,14,1,,,0
106,동해,2023-01-11 12:00,14.2,,1,12,1,,,0
106,동해,2023-01-11 13:00,13.5,,1.4,17,1,,,0
106,동해,2023-01-11 14:00,13.1,,2.4,34,1,,,0
106,동해,2023-01-11 15:00,12.5,,2.8,35,1,,,0
106,동해,2023-01-11 16:00,14,,3.9,17,1,,,0
106,동해,2023-01-11 17:00,13.2,,2.4,17,.6,,,0
106,동해,2023-01-11 18:00,12,,4.3,19,0,,,0
106,동해,2023-01-11 19:00,10.1,,2,23,,,,1
106,동해,2023-01-11 20:00,8.8,,2,25,,,,0
106,동해,2023-01-11 21:00,8.3,,2.2,29,,,,0
106,동해,2023-01-11 22:00,8.5,,2.3,27,,,,1
106,동해,2023-01-11 23:00,8.7,,3,26,,,,1
106,동해,2023-01-12 00:00,9.6,,1,23,,,,1
106,동해,2023-01-12 01:00,7.9,,1.4,26,,,,4
106,동해,2023-01-12 02:00,9.5,,1,32,,,,3
106,동해,2023-01-12 03:00,10.1,,.4,25,,,,6
106,동해,2023-01-12 04:00,7.4,,1.3,30,,,,6
106,동해,2023-01-12 05:00,8.5,,1.2,26,,,,5
106,동해,2023-01-12 06:00,7,,1.7,31,,,,6
106,동해,2023-01-12 07:00,6,,1.5,34,,,,6
106,동해,2023-01-12 08:00,7.2,,2.5,30,.1,,,5
106,동해,2023-01-12 09:00,10.1,,2.4,24,1,,,4
106,동해,2023-01-12 10:00,13.7,,2.2,18,1,,,1
106,동해,2023-01-12 11:00,15.6,,2.2,16,1,,,1
106,동해,2023-01-12 12:00,17.3,,2.3,14,1,,,0
106,동해,2023-01-12 13:00,15.2,,2.5,35,1,,,0
106,동해,2023-01-12 14:00,14.5,,1.9,45,1,,,0
106,동해,2023-01-12 15:00,14.3,,2.8,43,1,,,1
106,동해,2023-01-12 16:00,13.7,,2.1,52,1,,,2
106,동해,2023-01-12 17:00,12.5,,1.6,63,.6,,,2
106,동해,2023-01-12 18:00,11.8,,.1,70,0,,,0
106,동해,2023-01-12 19:00,9.2,,1.2,52,,,,0
106,동해,2023-01-12 20:00,8,,1.5,44,,,,0
106,동해,2023-01-12 21:00,8.9,,1.6,34,,,,0
106,동해,2023-01-12 22:00,9.2,,1.7,29,,,,1
106,동해,2023-01-12 23:00,6.9,,1.6,38,,,,0
106,동해,2023-01-13 00:00,9.8,,1.7,29,,,,6
106,동해,2023-01-13 01:00,11.1,,1.7,28,,,,10
106,동해,2023-01-13 02:00,11.5,,.8,27,,,,10
106,동해,2023-01-13 03:00,11.3,,1.4,39,,,,10
106,동해,2023-01-13 04:00,12,,1.1,47,,,,9
106,동해,2023-01-13 05:00,11.2,,.2,52,,,,10
106,동해,2023-01-13 06:00,12.6,0,2.8,57,,,,10
106,동해,2023-01-13 07:00,10.9,,3.1,69,,,,8
106,동해,2023-01-13 08:00,10.3,,2,72,0,,,10
106,동해,2023-01-13 09:00,8.3,.9,3.5,92,0,,,10
106,동해,2023-01-13 10:00,8.2,,2,98,0,,,10
106,동해,2023-01-13 11:00,9.1,,.1,99,0,,,8
106,동해,2023-01-13 12:00,9.3,3.8,.1,99,0,,,9
106,동해,2023-01-13 13:00,9.8,,.5,99,0,,,9
106,동해,2023-01-13 14:00,10,,.8,99,0,,,9
106,동해,2023-01-13 15:00,10,.2,2.7,97,0,,,8
106,동해,2023-01-13 16:00,9.3,,4.3,97,0,,,7
106,동해,2023-01-13 17:00,8.9,,4,96,0,,,10
106,동해,2023-01-13 18:00,8.6,,3.2,96,0,,,10
106,동해,2023-01-13 19:00,8.6,,3,96,,,,9
106,동해,2023-01-13 20:00,8.6,,2.3,94,,,,9
106,동해,2023-01-13 21:00,8.5,,2.4,94,,,,9
106,동해,2023-01-13 22:00,8.2,,.7,94,,,,10
106,동해,2023-01-13 23:00,7.9,,.8,97,,,,6
106,동해,2023-01-14 00:00,8.2,,.8,99,,,,9
106,동해,2023-01-14 01:00,8.2,,.8,99,,,,10
106,동해,2023-01-14 02:00,8.3,,1.3,97,,,,7
106,동해,2023-01-14 03:00,8.5,.2,.9,99,,,,8
106,동해,2023-01-14 04:00,8.7,,2.2,99,,,,10
106,동해,2023-01-14 05:00,8.5,,1.7,99,,,,9
106,동해,2023-01-14 06:00,8.3,1,2,99,,,,9
106,동해,2023-01-14 07:00,8.6,,3,99,,,,10
106,동해,2023-01-14 08:00,8.3,,3.4,99,0,,,10
106,동해,2023-01-14 09:00,7.7,2.8,5.1,99,0,,,10
106,동해,2023-01-14 10:00,7.7,,4.3,94,0,,,9
106,동해,2023-01-14 11:00,7.6,,6.4,87,0,,,9
106,동해,2023-01-14 12:00,7.4,3.3,5.2,88,0,,,9
106,동해,2023-01-14 13:00,6.2,,5.2,94,0,,,9
106,동해,2023-01-14 14:00,5.4,,4,94,0,,,10
106,동해,2023-01-14 15:00,5.1,3.8,5.4,94,0,,,10
106,동해,2023-01-14 16:00,4.9,,4,94,0,,,10
106,동해,2023-01-14 17:00,3.9,,2,96,0,,,10
106,동해,2023-01-14 18:00,3.8,8.1,1.3,99,0,,,9
106,동해,2023-01-14 19:00,4.4,,4.5,99,,,,10
106,동해,2023-01-14 20:00,4.7,,3.2,96,,,,9
106,동해,2023-01-14 21:00,2.8,5.7,3,99,,,,6
106,동해,2023-01-14 22:00,2.7,,2.6,99,,,,7
106,동해,2023-01-14 23:00,2.4,,2.2,99,,,,10
106,동해,2023-01-15 00:00,2.7,8.3,1.8,99,,,,10
106,동해,2023-01-15 01:00,2,,2,99,,,,10
106,동해,2023-01-15 02:00,2.2,,1,99,,,,9
106,동해,2023-01-15 03:00,2.2,10.7,1.5,99,,,,9
106,동해,2023-01-15 04:00,2.1,,2.3,99,,,,9
106,동해,2023-01-15 05:00,2.4,,1.7,99,,,,10
106,동해,2023-01-15 06:00,2.1,4.3,1.6,99,,,,10
106,동해,2023-01-15 07:00,1.7,,1.6,99,,,,10
106,동해,2023-01-15 08:00,2,,1.1,99,0,,,10
106,동해,2023-01-15 09:00,1.8,5.3,.8,99,0,,,10
106,동해,2023-01-15 10:00,2.2,,1.8,99,0,,,10
106,동해,2023-01-15 11:00,2.1,,2,99,0,,,10
106,동해,2023-01-15 12:00,2.8,3.8,1.4,99,0,,,10
106,동해,2023-01-15 13:00,3,,1.5,99,0,,,10
106,동해,2023-01-15 14:00,2.9,,1.9,99,0,,,10
106,동해,2023-01-15 15:00,3.2,1.3,1.4,99,0,,,10
106,동해,2023-01-15 16:00,3.3,,1.6,98,0,,,10
106,동해,2023-01-15 17:00,3.2,,1.2,96,0,,,10
106,동해,2023-01-15 18:00,2.8,.1,1.3,96,0,,,9
106,동해,2023-01-15 19:00,3,,1.8,94,,,,10
106,동해,2023-01-15 20:00,2.9,,.2,95,,,,10
106,동해,2023-01-15 21:00,2.6,,1.4,90,,,,9
106,동해,2023-01-15 22:00,2.6,,2,87,,,,8
106,동해,2023-01-15 23:00,2.8,,1.7,84,,,,10
106,동해,2023-01-16 00:00,2.2,,2.3,88,,,,9
106,동해,2023-01-16 01:00,2.1,,3,83,,,,10
106,동해,2023-01-16 02:00,2.1,,3.3,79,,,,10
106,동해,2023-01-16 03:00,2.2,,2.5,78,,,,9
106,동해,2023-01-16 04:00,2.1,,1.8,77,,,,10
106,동해,2023-01-16 05:00,2.1,,1.6,75,,,,9
106,동해,2023-01-16 06:00,2.1,,1.7,71,,,,8
106,동해,2023-01-16 07:00,1.9,,.5,71,,,,7
106,동해,2023-01-16 08:00,.7,,.7,84,0,,,6
106,동해,2023-01-16 09:00,1.8,,1,75,.4,,,6
106,동해,2023-01-16 10:00,2.9,,.1,68,.6,,,7
